Program,ML_course,IR_course,Stats_course,Databases_course,Gender,Chocolate,Age,Neighbors,Stand,Stress,Euros,Random_number,Bedtime,Good_day_1,Good_day_2
Beta,no,unknown,mu,ja,female,fat,22.0,0.0,no,0.0,4.0,227.0,10.0,weather,sport
Business,no,0,mu,nee,male,unknown,24.0,2.0,no,85.0,25.0,65.0,11.0,other,drinks
Beta,no,0,mu,ja,female,neither,24.72429906542056,4.0,no,50.0,10.0,3.0,0.0,other,productivity
Business,no,0,mu,nee,female,neither,26.0,0.0,no,10.0,99.0,2.0,11.0,food,socialize
Business,yes,0,mu,ja,male,neither,27.0,0.0,no,60.0,80.0,7.0,10.0,weather,socialize
Business,yes,1,mu,ja,male,fat,24.72429906542056,0.0,no,0.0,10.0,6.0,11.0,weather,productivity
Business,no,0,mu,nee,female,neither,24.0,0.0,no,71.0,10.0,4.0,0.0,drinks,sport
Beta,no,0,mu,ja,male,I have no idea what you are talking about,28.0,3.6496350364963503,no,10.0,4515169791.764706,256.0,0.0,sleep,food
Business,yes,0,mu,ja,female,neither,22.0,2.0,no,0.0,50.0,3.0,11.0,friends,productivity
Business,no,0,sigma,nee,male,fat,25.0,1.0,no,22.0,4515169791.764706,8.0,11.0,sport,sleep
Business,no,0,mu,nee,female,fat,24.72429906542056,0.0,no,70.0,50.0,8.0,11.0,other,food
Beta,yes,1,mu,ja,male,neither,24.72429906542056,0.0,no,0.0,10.0,7.0,1.0,other,food
Business,yes,0,sigma,ja,male,I have no idea what you are talking about,22.0,5.0,unknown,20.0,0.0,456123.0,10.0,productivity,music
Beta,yes,0,mu,nee,male,neither,24.0,0.0,no,20.0,5.0,728.0,11.0,food,sleep
Beta,no,0,mu,nee,male,fat,24.0,0.0,no,15.0,10.0,7.0,11.0,food,food
Beta,yes,0,mu,nee,male,fat,26.0,1.0,no,30.0,5.0,6.0,1.0,weather,food
Business,no,0,mu,nee,unknown,neither,28.0,2.0,no,30.0,1.0,1.0,11.0,sleep,productivity
Business,no,0,mu,nee,male,neither,24.72429906542056,0.0,no,17.0,0.0,2.0,0.0,productivity,sport
Business,no,0,mu,nee,male,neither,23.0,0.0,no,80.0,85.0,9.0,2.0,drinks,food
Beta,yes,1,mu,ja,male,slim,24.0,0.0,no,65.0,0.0,2.0,1.0,productivity,sport
Beta,yes,1,mu,ja,female,I have no idea what you are talking about,23.0,1.0,no,25.0,3.0,8.0,0.0,weather,socialize
Business,no,1,sigma,nee,female,fat,24.72429906542056,0.0,no,70.0,0.0,47.0,11.0,other,food
Beta,yes,1,mu,ja,male,neither,24.0,0.0,no,70.0,15.0,666.0,0.0,weather,music
